Alcohol type,Country,Hemisphere,Region,Consumed value,GDP PerCapita,Happiness Score,HDI,Total PerCapita
Beer PerCapita,Denmark,north,Western Europe,224,53.579,7.526,928,583
Spirit PerCapita,Denmark,north,Western Europe,81,53.579,7.526,928,583
Wine PerCapita,Denmark,north,Western Europe,278,53.579,7.526,928,583
Beer PerCapita,Switzerland,north,Western Europe,185,79.866,7.509,943,565
Spirit PerCapita,Switzerland,north,Western Europe,100,79.866,7.509,943,565
Wine PerCapita,Switzerland,north,Western Europe,280,79.866,7.509,943,565
Beer PerCapita,Iceland,north,Western Europe,233,60.53,7.501,933,372
Spirit PerCapita,Iceland,north,Western Europe,61,60.53,7.501,933,372
Wine PerCapita,Iceland,north,Western Europe,78,60.53,7.501,933,372
Beer PerCapita,Norway,north,Western Europe,169,70.89,7.498,951,369
Spirit PerCapita,Norway,north,Western Europe,71,70.89,7.498,951,369
Wine PerCapita,Norway,north,Western Europe,129,70.89,7.498,951,369
Beer PerCapita,Finland,north,Western Europe,263,43.433,7.413,918,493
Spirit PerCapita,Finland,north,Western Europe,133,43.433,7.413,918,493
Wine PerCapita,Finland,north,Western Europe,97,43.433,7.413,918,493
Beer PerCapita,Canada,north,North America,240,42.349,7.404,922,462
Spirit PerCapita,Canada,north,North America,122,42.349,7.404,922,462
Wine PerCapita,Canada,north,North America,100,42.349,7.404,922,462
Beer PerCapita,Netherlands,north,Western Europe,251,45.638,7.339,928,529
Spirit PerCapita,Netherlands,north,Western Europe,88,45.638,7.339,928,529
Wine PerCapita,Netherlands,north,Western Europe,190,45.638,7.339,928,529
Beer PerCapita,New Zealand,south,Australia and New Zealand,203,40.332,7.334,915,457
Spirit PerCapita,New Zealand,south,Australia and New Zealand,79,40.332,7.334,915,457
Wine PerCapita,New Zealand,south,Australia and New Zealand,175,40.332,7.334,915,457
Beer PerCapita,Australia,south,Australia and New Zealand,261,49.897,7.313,938,545
Spirit PerCapita,Australia,south,Australia and New Zealand,72,49.897,7.313,938,545
Wine PerCapita,Australia,south,Australia and New Zealand,212,49.897,7.313,938,545
Beer PerCapita,Sweden,north,Western Europe,152,51.845,7.291,932,398
Spirit PerCapita,Sweden,north,Western Europe,60,51.845,7.291,932,398
Wine PerCapita,Sweden,north,Western Europe,186,51.845,7.291,932,398
Beer PerCapita,Israel,north,Middle East and Northern Africa,63,37.181,7.267,902,141
Spirit PerCapita,Israel,north,Middle East and Northern Africa,69,37.181,7.267,902,141
Wine PerCapita,Israel,north,Middle East and Northern Africa,9,37.181,7.267,902,141
Beer PerCapita,Austria,north,Western Europe,279,44.731,7.119,906,545
Spirit PerCapita,Austria,north,Western Europe,75,44.731,7.119,906,545
Wine PerCapita,Austria,north,Western Europe,191,44.731,7.119,906,545
Beer PerCapita,United States of America,north,North America,249,57.589,7.104,922,491
Spirit PerCapita,United States of America,north,North America,158,57.589,7.104,922,491
Wine PerCapita,United States of America,north,North America,84,57.589,7.104,922,491
Beer PerCapita,Costa Rica,north,Latin America and Caribbean,149,11.733,7.087,791,247
Spirit PerCapita,Costa Rica,north,Latin America and Caribbean,87,11.733,7.087,791,247
Wine PerCapita,Costa Rica,north,Latin America and Caribbean,11,11.733,7.087,791,247
Beer PerCapita,Germany,north,Western Europe,346,42.233,6.994,934,638
Spirit PerCapita,Germany,north,Western Europe,117,42.233,6.994,934,638
Wine PerCapita,Germany,north,Western Europe,175,42.233,6.994,934,638
Beer PerCapita,Brazil,both,Latin America and Caribbean,245,8.639,6.952,758,406
Spirit PerCapita,Brazil,both,Latin America and Caribbean,145,8.639,6.952,758,406
